"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.95687500000E+009, -1.19672669493E+000, +0.00000000000E+000
+3.96875000000E+009, -1.22531665406E+000, +0.00000000000E+000
+3.98062500000E+009, -1.24215821994E+000, +0.00000000000E+000
+3.99250000000E+009, -1.26399060276E+000, +0.00000000000E+000
+4.00437500000E+009, -1.27464960981E+000, +0.00000000000E+000
+4.01625000000E+009, -1.27544475567E+000, +0.00000000000E+000
+4.02812500000E+009, -1.26942282659E+000, +0.00000000000E+000
+4.04000000000E+009, -1.27364107772E+000, +0.00000000000E+000
+4.05187500000E+009, -1.27309972353E+000, +0.00000000000E+000
+4.06375000000E+009, -1.27639408096E+000, +0.00000000000E+000
+4.07562500000E+009, -1.26805912780E+000, +0.00000000000E+000
+4.08750000000E+009, -1.28227903150E+000, +0.00000000000E+000
+4.09937500000E+009, -1.26857774732E+000, +0.00000000000E+000
+4.11125000000E+009, -1.26858891403E+000, +0.00000000000E+000
+4.12312500000E+009, -1.26437386102E+000, +0.00000000000E+000
+4.13500000000E+009, -1.24313123184E+000, +0.00000000000E+000
+4.14687500000E+009, -1.23048407898E+000, +0.00000000000E+000
+4.15875000000E+009, -1.23189613341E+000, +0.00000000000E+000
+4.17062500000E+009, -1.20105982525E+000, +0.00000000000E+000
+4.18250000000E+009, -1.18187239366E+000, +0.00000000000E+000
+4.19437500000E+009, -1.17416095757E+000, +0.00000000000E+000
+4.20625000000E+009, -1.15893209121E+000, +0.00000000000E+000
+4.21812500000E+009, -1.15137374019E+000, +0.00000000000E+000
+4.23000000000E+009, -1.15386618656E+000, +0.00000000000E+000
+4.24187500000E+009, -1.14896898019E+000, +0.00000000000E+000
+4.25375000000E+009, -1.16495651535E+000, +0.00000000000E+000
+4.26562500000E+009, -1.17986897738E+000, +0.00000000000E+000
+4.27750000000E+009, -1.18019733976E+000, +0.00000000000E+000
+4.28937500000E+009, -1.19063593054E+000, +0.00000000000E+000
+4.30125000000E+009, -1.21240039347E+000, +0.00000000000E+000
+4.31312500000E+009, -1.21005673581E+000, +0.00000000000E+000
+4.32500000000E+009, -1.22062712758E+000, +0.00000000000E+000
+4.33687500000E+009, -1.21348070913E+000, +0.00000000000E+000
+4.34875000000E+009, -1.21318085540E+000, +0.00000000000E+000
+4.36062500000E+009, -1.21637843150E+000, +0.00000000000E+000
+4.37250000000E+009, -1.20941035631E+000, +0.00000000000E+000
+4.38437500000E+009, -1.20219195360E+000, +0.00000000000E+000
+4.39625000000E+009, -1.20523721366E+000, +0.00000000000E+000
+4.40812500000E+009, -1.21403318365E+000, +0.00000000000E+000
+4.42000000000E+009, -1.20970304339E+000, +0.00000000000E+000
+4.43187500000E+009, -1.21250451253E+000, +0.00000000000E+000
+4.44375000000E+009, -1.21150444289E+000, +0.00000000000E+000
+4.45562500000E+009, -1.21171443536E+000, +0.00000000000E+000
+4.46750000000E+009, -1.21414162926E+000, +0.00000000000E+000
+4.47937500000E+009, -1.20547259277E+000, +0.00000000000E+000
+4.49125000000E+009, -1.19636972370E+000, +0.00000000000E+000
+4.50312500000E+009, -1.19566976980E+000, +0.00000000000E+000
+4.51500000000E+009, -1.18419350911E+000, +0.00000000000E+000
+4.52687500000E+009, -1.18392301557E+000, +0.00000000000E+000
+4.53875000000E+009, -1.19218123205E+000, +0.00000000000E+000
+4.55062500000E+009, -1.19847801502E+000, +0.00000000000E+000
+4.56250000000E+009, -1.19112195020E+000, +0.00000000000E+000
+4.57437500000E+009, -1.19644782966E+000, +0.00000000000E+000
+4.58625000000E+009, -1.21404172255E+000, +0.00000000000E+000
+4.59812500000E+009, -1.21356021233E+000, +0.00000000000E+000
+4.61000000000E+009, -1.21997714083E+000, +0.00000000000E+000
+4.62187500000E+009, -1.23356621396E+000, +0.00000000000E+000
+4.63375000000E+009, -1.23572962162E+000, +0.00000000000E+000
+4.64562500000E+009, -1.22977109363E+000, +0.00000000000E+000
+4.65750000000E+009, -1.21980474460E+000, +0.00000000000E+000
+4.66937500000E+009, -1.23007703434E+000, +0.00000000000E+000
+4.68125000000E+009, -1.22630049934E+000, +0.00000000000E+000
+4.69312500000E+009, -1.22068060049E+000, +0.00000000000E+000
+4.70500000000E+009, -1.22263776982E+000, +0.00000000000E+000
