"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.35125000000E+009, -5.39177497293E-001, +0.00000000000E+000
+3.36312500000E+009, -5.46138431709E-001, +0.00000000000E+000
+3.37500000000E+009, -5.48032938545E-001, +0.00000000000E+000
+3.38687500000E+009, -5.47722354900E-001, +0.00000000000E+000
+3.39875000000E+009, -5.56455723775E-001, +0.00000000000E+000
+3.41062500000E+009, -5.47046123679E-001, +0.00000000000E+000
+3.42250000000E+009, -5.50395830661E-001, +0.00000000000E+000
+3.43437500000E+009, -5.53679129090E-001, +0.00000000000E+000
+3.44625000000E+009, -5.56137446394E-001, +0.00000000000E+000
+3.45812500000E+009, -5.49699436087E-001, +0.00000000000E+000
+3.47000000000E+009, -5.62613774297E-001, +0.00000000000E+000
+3.48187500000E+009, -5.55653267841E-001, +0.00000000000E+000
+3.49375000000E+009, -5.50767909640E-001, +0.00000000000E+000
+3.50562500000E+009, -5.60457848689E-001, +0.00000000000E+000
+3.51750000000E+009, -5.56553497769E-001, +0.00000000000E+000
+3.52937500000E+009, -5.60285720814E-001, +0.00000000000E+000
+3.54125000000E+009, -5.63295709335E-001, +0.00000000000E+000
+3.55312500000E+009, -5.58668175247E-001, +0.00000000000E+000
+3.56500000000E+009, -5.65923917846E-001, +0.00000000000E+000
+3.57687500000E+009, -5.61999231504E-001, +0.00000000000E+000
+3.58875000000E+009, -5.68287250778E-001, +0.00000000000E+000
+3.60062500000E+009, -5.56863015863E-001, +0.00000000000E+000
+3.61250000000E+009, -5.57102256763E-001, +0.00000000000E+000
+3.62437500000E+009, -5.52020901078E-001, +0.00000000000E+000
+3.63625000000E+009, -5.53368197733E-001, +0.00000000000E+000
+3.64812500000E+009, -5.61111205342E-001, +0.00000000000E+000
+3.66000000000E+009, -5.47492860671E-001, +0.00000000000E+000
+3.67187500000E+009, -5.59695979035E-001, +0.00000000000E+000
+3.68375000000E+009, -5.51502302410E-001, +0.00000000000E+000
+3.69562500000E+009, -5.53566047287E-001, +0.00000000000E+000
+3.70750000000E+009, -5.60093203510E-001, +0.00000000000E+000
+3.71937500000E+009, -5.50299113002E-001, +0.00000000000E+000
+3.73125000000E+009, -5.48331126094E-001, +0.00000000000E+000
+3.74312500000E+009, -5.56428780436E-001, +0.00000000000E+000
+3.75500000000E+009, -5.58782401209E-001, +0.00000000000E+000
+3.76687500000E+009, -5.45274200197E-001, +0.00000000000E+000
+3.77875000000E+009, -5.61791561379E-001, +0.00000000000E+000
+3.79062500000E+009, -5.53774343390E-001, +0.00000000000E+000
+3.80250000000E+009, -5.47109230490E-001, +0.00000000000E+000
+3.81437500000E+009, -5.58917030139E-001, +0.00000000000E+000
+3.82625000000E+009, -5.47653420365E-001, +0.00000000000E+000
+3.83812500000E+009, -5.57725935703E-001, +0.00000000000E+000
+3.85000000000E+009, -5.50333793426E-001, +0.00000000000E+000
+3.86187500000E+009, -5.53730437644E-001, +0.00000000000E+000
+3.87375000000E+009, -5.60574540893E-001, +0.00000000000E+000
+3.88562500000E+009, -5.61541219054E-001, +0.00000000000E+000
+3.89750000000E+009, -5.75791164568E-001, +0.00000000000E+000
+3.90937500000E+009, -5.90859559122E-001, +0.00000000000E+000
+3.92125000000E+009, -6.05650927832E-001, +0.00000000000E+000
+3.93312500000E+009, -6.21244879537E-001, +0.00000000000E+000
+3.94500000000E+009, -6.29055939836E-001, +0.00000000000E+000
+3.95687500000E+009, -6.41337231211E-001, +0.00000000000E+000
+3.96875000000E+009, -6.55379077570E-001, +0.00000000000E+000
+3.98062500000E+009, -6.55617479032E-001, +0.00000000000E+000
+3.99250000000E+009, -6.58711005015E-001, +0.00000000000E+000
+4.00437500000E+009, -6.62771317726E-001, +0.00000000000E+000
+4.01625000000E+009, -6.66522693611E-001, +0.00000000000E+000
+4.02812500000E+009, -6.70002598143E-001, +0.00000000000E+000
+4.04000000000E+009, -6.65081515296E-001, +0.00000000000E+000
+4.05187500000E+009, -6.57916948046E-001, +0.00000000000E+000
+4.06375000000E+009, -6.63155365450E-001, +0.00000000000E+000
+4.07562500000E+009, -6.50372040032E-001, +0.00000000000E+000
+4.08750000000E+009, -6.58455741302E-001, +0.00000000000E+000
+4.09937500000E+009, -6.54387062010E-001, +0.00000000000E+000
+4.11125000000E+009, -6.52358623868E-001, +0.00000000000E+000
+4.12312500000E+009, -6.51632503480E-001, +0.00000000000E+000
+4.13500000000E+009, -6.60189304039E-001, +0.00000000000E+000
+4.14687500000E+009, -6.40568137026E-001, +0.00000000000E+000
+4.15875000000E+009, -6.34111551385E-001, +0.00000000000E+000
+4.17062500000E+009, -6.29215138444E-001, +0.00000000000E+000
+4.18250000000E+009, -6.27793218115E-001, +0.00000000000E+000
+4.19437500000E+009, -6.31892756094E-001, +0.00000000000E+000
+4.20625000000E+009, -6.28900091683E-001, +0.00000000000E+000
+4.21812500000E+009, -6.35302270955E-001, +0.00000000000E+000
+4.23000000000E+009, -6.31273974645E-001, +0.00000000000E+000
+4.24187500000E+009, -6.29269265380E-001, +0.00000000000E+000
+4.25375000000E+009, -6.41306844879E-001, +0.00000000000E+000
+4.26562500000E+009, -6.33218345862E-001, +0.00000000000E+000
+4.27750000000E+009, -6.46043063752E-001, +0.00000000000E+000
+4.28937500000E+009, -6.50619392128E-001, +0.00000000000E+000
+4.30125000000E+009, -6.32195873793E-001, +0.00000000000E+000
+4.31312500000E+009, -6.39143149481E-001, +0.00000000000E+000
+4.32500000000E+009, -6.41998750106E-001, +0.00000000000E+000
+4.33687500000E+009, -6.36495392120E-001, +0.00000000000E+000
+4.34875000000E+009, -6.37575766811E-001, +0.00000000000E+000
+4.36062500000E+009, -6.38618572881E-001, +0.00000000000E+000
+4.37250000000E+009, -6.42177667395E-001, +0.00000000000E+000
+4.38437500000E+009, -6.45765045381E-001, +0.00000000000E+000
+4.39625000000E+009, -6.50732459960E-001, +0.00000000000E+000
+4.40812500000E+009, -6.45694425892E-001, +0.00000000000E+000
+4.42000000000E+009, -6.50191267395E-001, +0.00000000000E+000
+4.43187500000E+009, -6.43193366087E-001, +0.00000000000E+000
+4.44375000000E+009, -6.42853485981E-001, +0.00000000000E+000
+4.45562500000E+009, -6.44158164948E-001, +0.00000000000E+000
+4.46750000000E+009, -6.42777062556E-001, +0.00000000000E+000
+4.47937500000E+009, -6.37743905278E-001, +0.00000000000E+000
+4.49125000000E+009, -6.39714736508E-001, +0.00000000000E+000
+4.50312500000E+009, -6.41576118963E-001, +0.00000000000E+000
+4.51500000000E+009, -6.38365462095E-001, +0.00000000000E+000
+4.52687500000E+009, -6.49661115520E-001, +0.00000000000E+000
+4.53875000000E+009, -6.59557813583E-001, +0.00000000000E+000
+4.55062500000E+009, -6.63245175219E-001, +0.00000000000E+000
+4.56250000000E+009, -6.64339017123E-001, +0.00000000000E+000
+4.57437500000E+009, -6.69636280761E-001, +0.00000000000E+000
+4.58625000000E+009, -6.77968819830E-001, +0.00000000000E+000
+4.59812500000E+009, -6.77984788495E-001, +0.00000000000E+000
+4.61000000000E+009, -6.65332333825E-001, +0.00000000000E+000
+4.62187500000E+009, -6.64097420456E-001, +0.00000000000E+000
+4.63375000000E+009, -6.70585971235E-001, +0.00000000000E+000
+4.64562500000E+009, -6.77319568290E-001, +0.00000000000E+000
+4.65750000000E+009, -6.82096321267E-001, +0.00000000000E+000
+4.66937500000E+009, -6.71915231488E-001, +0.00000000000E+000
+4.68125000000E+009, -6.62068885952E-001, +0.00000000000E+000
+4.69312500000E+009, -6.75037402037E-001, +0.00000000000E+000
+4.70500000000E+009, -6.65879183751E-001, +0.00000000000E+000
+4.71687500000E+009, -6.73197845887E-001, +0.00000000000E+000
+4.72875000000E+009, -6.69252777463E-001, +0.00000000000E+000
+4.74062500000E+009, -6.71157222736E-001, +0.00000000000E+000
+4.75250000000E+009, -6.80330260232E-001, +0.00000000000E+000
+4.76437500000E+009, -6.73558176597E-001, +0.00000000000E+000
+4.77625000000E+009, -6.69320205213E-001, +0.00000000000E+000
+4.78812500000E+009, -6.78519824699E-001, +0.00000000000E+000
+4.80000000000E+009, -6.84320170233E-001, +0.00000000000E+000
+4.81187500000E+009, -6.93052987629E-001, +0.00000000000E+000
+4.82375000000E+009, -7.00667657334E-001, +0.00000000000E+000
+4.83562500000E+009, -7.05187555885E-001, +0.00000000000E+000
+4.84750000000E+009, -7.08036491667E-001, +0.00000000000E+000
+4.85937500000E+009, -7.22086689673E-001, +0.00000000000E+000
+4.87125000000E+009, -7.02980131620E-001, +0.00000000000E+000
+4.88312500000E+009, -6.97622954220E-001, +0.00000000000E+000
+4.89500000000E+009, -7.14075810935E-001, +0.00000000000E+000
+4.90687500000E+009, -7.00395700269E-001, +0.00000000000E+000
+4.91875000000E+009, -6.99706035934E-001, +0.00000000000E+000
+4.93062500000E+009, -6.91872629499E-001, +0.00000000000E+000
+4.94250000000E+009, -7.02797513121E-001, +0.00000000000E+000
+4.95437500000E+009, -7.03119038432E-001, +0.00000000000E+000
+4.96625000000E+009, -7.16175675543E-001, +0.00000000000E+000
+4.97812500000E+009, -7.26253646666E-001, +0.00000000000E+000
+4.99000000000E+009, -7.37359989032E-001, +0.00000000000E+000
+5.00187500000E+009, -7.38092750289E-001, +0.00000000000E+000
+5.01375000000E+009, -7.38122120855E-001, +0.00000000000E+000
+5.02562500000E+009, -7.28072997068E-001, +0.00000000000E+000
+5.03750000000E+009, -7.18318993688E-001, +0.00000000000E+000
+5.04937500000E+009, -6.98789484872E-001, +0.00000000000E+000
+5.06125000000E+009, -6.88357905094E-001, +0.00000000000E+000
+5.07312500000E+009, -6.86352790327E-001, +0.00000000000E+000
+5.08500000000E+009, -6.71681799785E-001, +0.00000000000E+000
+5.09687500000E+009, -6.61232992936E-001, +0.00000000000E+000
+5.10875000000E+009, -6.63191384207E-001, +0.00000000000E+000
+5.12062500000E+009, -6.78767607058E-001, +0.00000000000E+000
+5.13250000000E+009, -6.66112784940E-001, +0.00000000000E+000
+5.14437500000E+009, -6.81479434143E-001, +0.00000000000E+000
+5.15625000000E+009, -6.84141265130E-001, +0.00000000000E+000
+5.16812500000E+009, -6.91774543242E-001, +0.00000000000E+000
+5.18000000000E+009, -6.92757245359E-001, +0.00000000000E+000
+5.19187500000E+009, -7.08971248707E-001, +0.00000000000E+000
+5.20375000000E+009, -7.11736802804E-001, +0.00000000000E+000
+5.21562500000E+009, -7.22217048946E-001, +0.00000000000E+000
+5.22750000000E+009, -7.24633609786E-001, +0.00000000000E+000
+5.23937500000E+009, -7.29550395097E-001, +0.00000000000E+000
+5.25125000000E+009, -7.44409285635E-001, +0.00000000000E+000
+5.26312500000E+009, -7.48582573291E-001, +0.00000000000E+000
+5.27500000000E+009, -7.67445733322E-001, +0.00000000000E+000
+5.28687500000E+009, -7.70241924265E-001, +0.00000000000E+000
+5.29875000000E+009, -7.66240172738E-001, +0.00000000000E+000
+5.31062500000E+009, -7.72480882024E-001, +0.00000000000E+000
+5.32250000000E+009, -7.67114517191E-001, +0.00000000000E+000
+5.33437500000E+009, -7.57064493812E-001, +0.00000000000E+000
+5.34625000000E+009, -7.47680926816E-001, +0.00000000000E+000
+5.35812500000E+009, -7.30339654447E-001, +0.00000000000E+000
+5.37000000000E+009, -7.17543394848E-001, +0.00000000000E+000
+5.38187500000E+009, -7.06229299910E-001, +0.00000000000E+000
+5.39375000000E+009, -6.95935856102E-001, +0.00000000000E+000
+5.40562500000E+009, -6.83856517699E-001, +0.00000000000E+000
+5.41750000000E+009, -6.86499123555E-001, +0.00000000000E+000
+5.42937500000E+009, -6.95846607580E-001, +0.00000000000E+000
+5.44125000000E+009, -7.06534782165E-001, +0.00000000000E+000
+5.45312500000E+009, -7.18674264532E-001, +0.00000000000E+000
+5.46500000000E+009, -7.23015360180E-001, +0.00000000000E+000
+5.47687500000E+009, -7.36353772803E-001, +0.00000000000E+000
+5.48875000000E+009, -7.39579833989E-001, +0.00000000000E+000
+5.50062500000E+009, -7.50841570646E-001, +0.00000000000E+000
+5.51250000000E+009, -7.51996583210E-001, +0.00000000000E+000
+5.52437500000E+009, -7.49542128186E-001, +0.00000000000E+000
+5.53625000000E+009, -7.60765781030E-001, +0.00000000000E+000
+5.54812500000E+009, -7.65330481271E-001, +0.00000000000E+000
+5.56000000000E+009, -7.66810892286E-001, +0.00000000000E+000
+5.57187500000E+009, -7.68968187685E-001, +0.00000000000E+000
+5.58375000000E+009, -7.80745537447E-001, +0.00000000000E+000
+5.59562500000E+009, -7.77919545651E-001, +0.00000000000E+000
+5.60750000000E+009, -7.84175360685E-001, +0.00000000000E+000
+5.61937500000E+009, -7.79615994624E-001, +0.00000000000E+000
+5.63125000000E+009, -7.79731300301E-001, +0.00000000000E+000
+5.64312500000E+009, -7.74989049742E-001, +0.00000000000E+000
+5.65500000000E+009, -7.76184363192E-001, +0.00000000000E+000
+5.66687500000E+009, -7.72274576130E-001, +0.00000000000E+000
+5.67875000000E+009, -7.66599767588E-001, +0.00000000000E+000
+5.69062500000E+009, -7.55131720805E-001, +0.00000000000E+000
+5.70250000000E+009, -7.62667223399E-001, +0.00000000000E+000
+5.71437500000E+009, -7.58507066896E-001, +0.00000000000E+000
+5.72625000000E+009, -7.53071139760E-001, +0.00000000000E+000
+5.73812500000E+009, -7.54719340095E-001, +0.00000000000E+000
+5.75000000000E+009, -7.60037876996E-001, +0.00000000000E+000
+5.76187500000E+009, -7.65768924192E-001, +0.00000000000E+000
+5.77375000000E+009, -7.66619432101E-001, +0.00000000000E+000
